"GISJOIN","pct99_90","pct199_90","pct200_90","NHGISCODE","GJOIN2000","GJOIN2012","origGEOID"
"G42010100313",8.63483774710929,24.6736292428198,72.0440134278254,"G4201010031300","G4201010031300","G4201010031300","4210131300"
"G42010100314",8.62249163879599,22.3453177257525,73.8398829431438,"G4201010031400","G4201010031400","","4210131400"
"G42010100315",4.26484699861392,17.5924938692824,79.0596012368056,"G4201010031500","G4201010031500","","4210131500"
"G42010100316",4.17721518987342,17.4141048824593,81.8083182640145,"G4201010031600","G4201010031600","G4201010031600","4210131600"
"G42010100317",4.33614047661709,18.1867048915965,78.2834617452069,"G4201010031700","G4201010031700","G4201010031700","4210131700"
"G42010100318",5.70023148148148,18.8078703703704,78.443287037037,"G4201010031800","G4201010031800","G4201010031800","4210131800"
"G42010100319",6.75675675675676,19.002079002079,74.6985446985447,"G4201010031900","G4201010031900","G4201010031900","4210131900"
"G42010100320",5.96991781671577,19.8015196154443,77.4693750969142,"G4201010032000","G4201010032000","G4201010032000","4210132000"
"G42010100321",11.2911522633745,23.4053497942387,72.5565843621399,"G4201010032100","G4201010032100","G4201010032100","4210132100"
"G42010100322",4.73684210526316,72.1052631578947,27.8947368421053,"G4201010032200","G4201010032200","","4210132200"
"G42010100323",9.16969527537042,24.7973161867487,70.4221414593235,"G4201010032300","G4201010032300","G4201010032300","4210132300"
"G42010100324",0,0,100,"G4201010032400","G4201010032400","","4210132400"
"G42010100325",8.70855148342059,26.108202443281,71.2739965095986,"G4201010032500","G4201010032500","G4201010032500","4210132500"
"G42010100326",8.0350512401604,22.040695083915,75.4938363285311,"G4201010032600","G4201010032600","G4201010032600","4210132600"
"G42010100327",46.7980295566502,62.0689655172414,37.9310344827586,"G4201010032700","G4201010032700","","4210132700"
"G42010100329",7.73372491434165,23.5927557513461,74.9143416544298,"G4201010032900","G4201010032900","G4201010032900","4210132900"
"G42010100330",7.34936503647663,20.9943258578762,77.249392056201,"G4201010033000","G4201010033000","G4201010033000","4210133000"
