GEOID,li_d,moe_li_d,cv_li_d,cat_li_d,z_1dir,z_1dir_sig
42017104506,0.08292079207920793,0.05464948736845456,0.4006422519050155,Low,-0.6411727409709311,No
42017104503,0.08631232361241768,0.03774365926724874,0.26583079632664697,Medium,-1.3310328700374694,No
42017104505,0.06618168914123491,0.028600629748269362,0.2627071216885128,Medium,-1.284509026406475,No
42017104301,0.11030534351145038,0.07048113426043258,0.3884279125426391,Medium,1.367142399503757,No
42101008701,0.46763085399449034,0.11988940899428842,0.155851777251283,Medium,4.9074343524932535,Yes
42101008102,0.6970802919708029,0.1108999268709468,0.09671248734906482,High,9.540758006505365,Yes
42101008602,0.3198031980319803,0.09982108299986778,0.18974641215546528,Medium,1.7309738837632764,Yes
42101037500,0.3319693094629156,0.0777482471126905,0.14237271566291834,Medium,5.92845350224447,Yes
42101018002,0.4372100728959576,0.09473559706757517,0.1317216417980661,Medium,5.1800590151335495,Yes
42101008801,0.7533333333333333,0.15362235705490798,0.12396564304939182,Medium,6.108090219944297,Yes
42101980100,0.21428571428571427,0.16595043114586247,0.4707813649528014,Low,1.0706132169659217,No
42017102402,0.19166666666666668,0.06365809664321154,0.2019022491657297,Medium,2.5838818414975306,Yes
42017105510,0.07520210565895845,0.04758267809078209,0.38463870025056224,Medium,-0.9625642468229466,No
42017105511,0.029411764705882353,0.01523183893892944,0.3148222029930705,Medium,-3.9175059203664038,No
42017104203,0.13650446509932568,0.04335062688933555,0.19305569715388232,Medium,1.237662873978719,No
42017104201,0.1358965860125953,0.06912111813875145,0.3091977365625519,Medium,-0.5809050397640283,No
42017104204,0.17283189478010685,0.05981487180895035,0.21038723348044366,Medium,1.1944318008872665,No
42017105509,0.07534246575342465,0.03225839979942684,0.2602777767734909,Medium,-3.159227155308726,No
42017105508,0.11037463976945244,0.07676821145634383,0.4228109450324396,Low,-2.791748618278508,No
42017105013,0.0656984785615491,0.039138325660388246,0.3621437779870191,Medium,-3.229622169113792,No
42017101808,0.15858699736941,0.08472756813944565,0.32478148463542383,Medium,1.957020286364678,Yes
42101007102,0.5592637540453075,0.12261351078741621,0.133277166784763,Medium,2.6468596855857123,Yes
42101008802,0.7506782419967445,0.10842717647654541,0.08780483235276075,High,3.9511965639509428,Yes
42101008702,0.44440270473328325,0.0759665325533406,0.10391535078094313,High,3.514115142771858,Yes
