GEOID,hous_c,li_c,nw_c,tot199_c,totnw_c,univ_c
42017105006,353.9723104997126,0.04353811736362072,0.06158860868073426,253,359,5811
42017105008,516.2355661799024,0.09352723125178215,0.1009409751924722,328,354,3507
42017105009,265.8128333182059,0.17189791727779408,0.0480209545983702,586,165,3409
42017105010,302.8202425084246,0.05397590361445783,0.05951807228915663,224,247,4150
42017105011,344.89837843864933,0.07476905311778291,0.10508083140877598,259,364,3464
42017105012,325.3271524245913,0.06736842105263158,0.03333333333333333,192,95,2850
42017105013,381.99474774711376,0.027115858668857847,0.08036154478225144,165,489,6085
42017105100,474.1574302496778,0.0760039827414537,0.0364963503649635,229,110,3013
42017105202,263.7667505985544,0.07907614014484243,0.1735408560311284,404,892,5109
42017105203,394.2712440650229,0.06887486855941115,0.10094637223974763,131,192,1902
42017105206,342.22957489127776,0.08528285835814547,0.14558022622538752,401,695,4702
42017105207,329.95307857336866,0.07009345794392523,0.11670711974110032,345,577,4922
42017105208,548.617049221344,0.06570762052877138,0.2651632970451011,169,682,2572
42017105300,416.51127362645246,0.14398513701811425,0.017639077340569877,310,39,2153
42017105400,598.6126356754376,0.07392900856793146,0.0817625458996328,604,668,8170
42017105505,385.46419235869683,0.06756756756756757,0.06782253952065273,265,266,3922
42017105506,473.1788689489749,0.0577693940108465,0.1775106082036775,245,753,4241
42017105507,396.2283666664287,0.06307323267955411,0.05869074492099323,447,416,7087
42017105508,578.596609070151,0.018489583333333334,0.09614887567846989,71,372,3840
42017105509,464.90557795212317,0.04146289602381459,0.14161173718902828,195,666,4703
42017105510,238.05727642554183,0.14638949671772428,0.19715536105032822,669,901,4570
42017105511,330.13099880986016,0.09486260454002389,0.1647780925401322,397,698,4185
42017105600,292.32294855542995,0.13023450586264657,0.1474036850921273,311,352,2388
42017105702,184.41432512337377,0.23330940416367552,0.2921751615218952,650,814,2786
42017105704,208.25563681322623,0.30398671096345514,0.45046393295420534,2013,3010,6622
42017105801,294.5469515115729,0.21142397425583268,0.3010786802030457,1314,1898,6215
42017105805,48.66118468040784,0.2625258022142991,0.11334209044848939,1399,604,5329
42017105807,218.75293076622097,0.22383803820929568,0.1804961505560308,785,633,3507
42017105808,204.6972320833975,0.21857025472473296,0.12211041610008158,798,449,3651
42017105809,222.66717596903257,0.15766331658291458,0.07796257796257797,753,375,4776
42017105810,206.20955409357472,0.24432948666931953,0.061386138613861385,614,155,2513
42017105811,205.40891302936325,0.2635064482398048,0.0582084349947717,1512,334,5738
42017105812,212.25884213428355,0.16259711431742507,0.03607103218645949,293,65,1802
42017105900,203.1849100732203,0.32379349046015715,0.056393076493579004,577,101,1782
