GEOID,hous_d,li_d,nw_d,tot199_d,totnw_d,univ_d,rc_hous,rc_li,rc_nw,rc_pop,rr_hous,rr_li,rr_nw,rr_pop
42045404101,222.4,0.16032428855062872,0.1100264725347452,969,665,6044,2.9925885422690595e-4,-1.2245780770785277,1.5554784737999319,-1.9650458967901716e-5,2.7633317163546016e-4,-1.1256222156175701,1.4039116238238434,-1.8243928235940197e-5
42045404102,167.8,0.29967918475183997,0.2958513234465928,1588,1576,5299,-6.570230851350815e-5,1.2752172268942055,8.31096894011964,6.7472607881073515e-6,-6.0668972826926114e-5,1.1721693105553623,7.501142636689184,6.26430872726573e-6
42045404103,151.2,0.21129587155963303,0.05490420360308836,737,192,3488,-4.161136428572249e-4,2.902785728019176,7.489264279630783,-3.139792829910045e-6,-3.842359250775473e-4,2.6682170486271715,6.759505421104735,-2.9150543077984435e-6
42045404300,90,0.6122526636225266,0.29749240121580545,1609,783,2628,-0.0013610546533114557,7.407659376398617,59.84252806498965,2.1824773951905483e-5,-0.0012567867042409507,6.80906029258221,54.01143260067352,2.026261118860255e-5
42045404400,119.7,0.4667487684729064,0.5954433497536946,758,967,1624,-4.291097272233142e-4,3.6028196203329554,5.246652500973486,1.028476076940276e-5,-3.962364027944088e-4,3.3116825128738405,4.735415215542559,9.548603302716279e-6
42045404500,80.8,0.5866284622731615,0.8480428360413589,3071,4593,5235,-6.964287979615995e-4,3.963977882071822,2.500422313574815,2.5261034788187116e-5,-6.43076640309135e-4,3.643656251728406,2.256779511657645,2.345291306396827e-5
42045404600,111.8,0.43275129778197263,0.8763567720622936,917,1857,2119,4.462507627970603e-4,0.5765925178847409,5.097343088797957,-3.132120329386637e-5,4.1206429446179475e-4,0.5299991561487963,4.600654611117446,-2.907930985683275e-5
42045404700,90.2,0.6659182757072295,0.4896988906497623,1483,1854,2227,2.1295851331549427e-4,1.022269665909935,0.5567523660509807,-3.103653908231512e-5,1.9664414462612084e-4,0.939661968345351,0.5025020477338561,-2.8815021197958947e-5
42045404800,45.1,0.7161764705882353,0.9341085271317829,1461,1928,2040,-9.729594700797491e-4,-0.11090798843471371,0.5696302903439859,-6.761016329853005e-5,-8.98422794989505e-4,-0.1019457215577482,0.5141251385770914,-6.277079681718452e-5
42045404900,31.9,0.8695987654320988,0.9652777777777778,1127,1251,1296,-0.0014500831835591878,0.16881712289964054,-1.038526848248303,-1.0771864508545807e-4,-0.0013389949189083295,0.1551753272978865,-0.9373321061442496,-1.000084137384225e-4
