GEOID,li_c,moe_li_c,cv_li_c,cat_li_c
42101023500,0.09239574816026165,0.0672267139672429,0.4423071855283539,Low
42101023600,0.15692307692307692,0.12302784795242509,0.47659634763142206,Low
42101023700,0.3270846800258565,0.1058524461703686,0.19673190315071448,Medium
42101023800,0.36525061811643067,0.08962052569160664,0.1491593991309639,Medium
42101023900,0.3851902173913043,0.10260459712506172,0.16192938568382717,Medium
42101024000,0.47838692672641014,0.12758443707114067,0.16212593609415213,Medium
42101024100,0.7972251867662753,0.09406545905091307,0.07172709897804433,High
42101024200,0.669449081803005,0.1152879748268678,0.10468888102129754,High
42101024300,0.5545434829754934,0.16877085768682082,0.18501031789341157,Medium
42101024400,0.6282216494845361,0.2933537666086601,0.283865666449468,Medium
42101024500,0.4972926759760616,0.06619677240350777,0.08092055438078706,High
42101024600,0.6382373845060412,0.13926428290811274,0.13264522041667376,Medium
42101024700,0.7243001119820829,0.09947727804857989,0.08349095692742371,High
42101024800,0.44144981412639406,0.16050191463980454,0.22102071368092102,Medium
42101024900,0.6113989637305699,0.14726628212733744,0.14642415357568456,Medium
42101025200,0.45087321690441273,0.1055155744799767,0.14226439709858651,Medium
42101025300,0.40369458128078817,0.09410261856312893,0.14170425341506832,Medium
42101025400,0.23697857948139797,0.07864256184178126,0.20173565298546173,Medium
42101025500,0.15216637781629117,0.06909430468499445,0.27603086458753173,Medium
42101025600,0.21636293136874757,0.08223878912057773,0.23106169138801186,Medium
42101025700,0.18811566571337782,0.06187577976930395,0.19995387223157762,Medium
42101025800,0.2258469259723965,0.09665957977406416,0.2601745527859815,Medium
42101025900,0.41743635954043706,0.1493960091163913,0.21756188829341427,Medium
42101026000,0.3924005681818182,0.13684780808218833,0.2120031509493693,Medium
42101026100,0.23440860215053763,0.07480873969670429,0.1940049856890075,Medium
42101026200,0.23383297644539613,0.056985847618777674,0.14814784972760822,Medium
42101026301,0.38098747236551217,0.12113924220371343,0.19328949653476526,Medium
42101026302,0.3996179560649475,0.10203078065101667,0.15521021948080466,Medium
42101026400,0.3994392523364486,0.1187670959301732,0.18075049482100056,Medium
42101026500,0.3302423603793467,0.08409148828269288,0.1547937269641437,Medium
42101026600,0.4157372039724981,0.12093898151418146,0.17684041023053113,Medium
42101026700,0.48021638330757344,0.13264851737496033,0.16791887862117277,Medium
42101026800,0.35559197050389185,0.06961022741311736,0.11900225870562903,High
42101026900,0.4182825484764543,0.14456506351868578,0.21010079884959668,Medium
42101027000,0.33895297249334516,0.13383794895236656,0.24003464165457297,Medium
42101027100,0.5217671718800387,0.1209583822873583,0.140926711078294,Medium
42101027200,0.3925379803395889,0.08693280185993416,0.13462821614110307,Medium
42101027300,0.34317343173431736,0.07405408233849751,0.1311805491632044,Medium
42101027401,0.6722344784115979,0.1102850660069395,0.09973096511756037,High
42101027402,0.6513384574609065,0.12904519361198052,0.12043957378733361,Medium
42101027500,0.4645704162976085,0.09758552311753109,0.12769325030895554,Medium
42101027600,0.41818629866929524,0.07055787204784816,0.10256750058485754,High
42101027700,0.440122199592668,0.08017689448906984,0.11074141121239686,High
42101027800,0.4149386373254338,0.1309107445570997,0.19178980353267225,Medium
42101027901,0.6287487073422957,0.22865651303691736,0.2210754760305342,Medium
42101027902,0.6631806707536964,0.1405317249934584,0.12881801871535842,Medium
42101028000,0.6904541241890639,0.1082868431259851,0.09533995939123065,High
42101028100,0.4871397582894329,0.07460390192704856,0.09309836713867518,High
42101028200,0.4664914586070959,0.09487609850719962,0.12363664705506043,Medium
42101028300,0.6449579831932774,0.09771354283384574,0.09209953444731457,High
42101028400,0.6396825396825396,0.11105060092037458,0.1055335418703734,High
42101028500,0.7282889079965607,0.11526781434274846,0.096214042108652,High
42101028600,0.6940424977186808,0.09993170301745265,0.08752887011010292,High
42101028700,0.7429390094146541,0.09289880483192986,0.07601355814159433,High
42101028800,0.7125446522378651,0.10012423098565107,0.08542032239115223,High
42101028901,0.6189468735307946,0.15234339435738536,0.1496250649856376,Medium
42101028902,0.6169354838709677,0.1305597376824751,0.1286481711077491,Medium
42101029000,0.5798659809880006,0.08519078604057957,0.0893097949814777,High
42101029100,0.6222791293213829,0.09067822804467965,0.08858330656922062,High
42101029200,0.5627129142149272,0.11641912952404894,0.12576840787133808,Medium
42101029300,0.551859799713877,0.11614407634625959,0.12793883839130019,Medium
42101029400,0.7418181818181818,0.061679997721055396,0.05054532264524177,High
42101029800,0.6452152110321772,0.10192372191726727,0.09602952365781871,High
42101029900,0.7428571428571429,0.08635404789242311,0.07066616030476523,High
42101030000,0.5850322580645161,0.06887307002017667,0.07156550274741055,High
42101030100,0.5737073707370737,0.12743524012418578,0.13503091476584073,Medium
42101030200,0.47090802233323537,0.07846257108110878,0.10128859424209445,High
42101030501,0.5267857142857143,0.15295771617574058,0.17651088776140278,Medium
42101030502,0.44768383543893747,0.11186012139752981,0.15189307367155416,Medium
42101030600,0.40328751594161827,0.10075826907965509,0.15187980034797965,Medium
42101030700,0.38801020408163267,0.10641869966429712,0.1667281374571779,Medium
42101030800,0.23570261437908496,0.0818600571938658,0.2111260107679734,Medium
42101030900,0.4334192439862543,0.12212166331368184,0.1712847185026261,Medium
42101031000,0.41453806074469435,0.09875544864648281,0.14482073678839752,Medium
42101031101,0.599624060150376,0.11200280404211277,0.11354916437271485,High
42101031102,0.48370457209847595,0.11231602174657723,0.14115478911230933,Medium
42101031200,0.5911789652247668,0.12827127494898363,0.13189992121236188,Medium
42101031300,0.5479430379746836,0.0927675558196721,0.10291882010701539,High
42101031401,0.5151245551601423,0.1230281723537536,0.14518656075680117,Medium
42101031402,0.5308833678398895,0.0986532529763198,0.11296564554365997,High
42101031501,0.37959323192616645,0.09526276610500617,0.15255934838092622,Medium
42101031502,0.33594594594594596,0.1067235878717495,0.19311904727286083,Medium
42101031600,0.3183041722745626,0.09888860529566774,0.18885914452709185,Medium
42101031700,0.35060388587432173,0.08039659532510993,0.13939751439477652,Medium
42101031800,0.387727022564667,0.10603297080839925,0.16624513965485574,Medium
